GeoID,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,API_PopTot,API_Cases,API_AAIR,API_LCI,API_UCI,AIAN_PopTot,AIAN_Cases,AIAN_AAIR,AIAN_LCI,AIAN_UCI,GeoName,GeoType
34035,Both,AllSite,01yr,328934,1960,466.5,445.5,488.3,183113,1418,502.0,474.3,531.1,32532,158,425.3,359.2,500.5,50061,130,370.1,301.7,448.2,62734,198,322.9,278.3,372.6,494,,,,,Somerset County,County
34037,Both,AllSite,01yr,140488,963,493.1,461.0,527.1,120643,882,499.0,464.7,535.5,3558,,,,,12904,39,348.6,242.0,485.7,3188,,,,,195,,,,,Sussex County,County
34039,Both,AllSite,01yr,556341,2935,449.2,432.8,466.1,221772,1566,474.4,449.9,499.9,119252,605,439.0,404.1,476.3,182552,563,371.2,339.8,404.5,31933,93,272.3,218.8,335.3,832,,,,,Union County,County
34041,Both,AllSite,01yr,105267,776,521.8,484.2,561.9,85492,702,535.4,493.9,579.9,5714,16,340.8,183.5,572.6,10696,34,431.1,291.3,611.5,3219,,,,,146,,,,,Warren County,County
34001,Female,AllSite,01yr,136079,825,435.5,404.8,468.2,77196,578,455.3,414.7,499.3,21662,130,474.5,394.4,567.1,25587,67,357.1,272.0,458.9,11301,30,218.8,145.2,319.1,333,,,,,Atlantic County,County
34003,Female,AllSite,01yr,479536,2869,440.9,424.3,458.1,266494,2035,487.9,464.9,511.8,28769,152,432.2,364.7,509.2,99782,348,371.5,332.6,413.7,83868,304,300.1,266.9,336.6,623,,,,,Bergen County,County
34005,Female,AllSite,01yr,226147,1400,457.7,432.9,483.5,153631,1084,477.4,447.3,509.1,40484,192,386.7,332.6,447.6,18159,56,401.4,299.6,525.1,13318,47,317.3,232.6,424.3,555,,,,,Burlington County,County
34007,Female,AllSite,01yr,262041,1613,482.9,458.8,508.0,147721,1111,500.0,468.9,532.7,52384,283,469.4,415.2,529.0,45128,136,395.3,329.2,470.3,16217,59,334.0,253.3,433.1,591,,,,,Camden County,County
34009,Female,AllSite,01yr,47171,377,457.0,405.6,514.1,40900,348,447.4,393.7,507.8,2001,,,,,3589,,,,,590,,,,,91,,,,,Cape May County,County
34011,Female,AllSite,01yr,73366,429,462.5,418.3,510.3,35533,285,480.7,421.3,547.3,13278,61,438.5,332.9,567.3,22814,75,450.4,350.7,568.3,1150,,,,,591,,,,,Cumberland County,County
34013,Female,AllSite,01yr,414401,2090,425.9,407.4,445.0,125199,867,471.5,438.5,506.7,168934,763,391.9,364.1,421.4,94268,336,406.6,363.3,453.5,24879,80,285.4,225.6,356.9,1121,,,,,Essex County,County
34015,Female,AllSite,01yr,149790,928,477.2,445.9,510.2,117807,773,472.2,438.1,508.5,16936,84,416.7,330.2,519.9,9691,29,408.1,265.3,597.6,5068,19,320.8,191.2,510.9,288,,,,,Gloucester County,County
34017,Female,AllSite,01yr,337404,1432,391.3,371.0,412.5,97071,506,449.6,409.7,492.6,38812,197,485.9,419.7,559.8,145686,549,341.6,313.3,371.8,55145,143,283.6,237.7,336.0,690,,,,,Hudson County,County
34019,Female,AllSite,01yr,63032,409,449.8,404.1,499.7,54033,375,455.4,406.2,509.7,1549,,,,,4325,18,490.1,283.9,785.7,3064,,,,,61,,,,,Hunterdon County,County
34021,Female,AllSite,01yr,187675,1038,436.7,409.7,465.1,92928,678,458.3,421.6,497.8,39282,192,423.8,364.7,490.0,32406,78,327.9,255.8,413.2,22677,74,364.0,283.8,459.6,382,,,,,Mercer County,County
34023,Female,AllSite,01yr,417800,2318,436.0,418.0,454.6,178599,1497,496.3,468.9,525.2,43642,223,455.4,396.2,521.2,91467,295,378.9,335.6,426.2,103137,265,254.5,224.4,287.6,955,,,,,Middlesex County,County
34025,Female,AllSite,01yr,317732,2139,487.7,466.0,510.1,241061,1788,497.1,472.4,522.7,23423,122,423.5,348.6,510.3,34117,122,448.9,369.7,539.2,18730,77,342.0,268.3,431.1,401,,,,,Monmouth County,County
34027,Female,AllSite,01yr,249924,1583,459.2,435.9,483.5,179021,1299,473.7,446.4,502.3,8940,45,411.2,297.3,557.0,33627,133,432.6,359.6,515.7,28042,91,285.2,228.9,351.7,294,,,,,Morris County,County
34029,Female,AllSite,01yr,313896,2450,503.9,482.0,526.6,267844,2250,513.3,489.4,538.2,10472,54,445.0,331.7,585.5,28415,80,343.8,271.6,428.6,6858,33,396.2,268.5,566.1,307,,,,,Ocean County,County
34031,Female,AllSite,01yr,256949,1330,429.1,405.7,453.5,104761,781,491.1,454.1,530.5,28377,133,400.7,334.3,476.8,108710,342,344.7,308.5,383.9,14590,49,296.5,217.8,395.5,511,,,,,Passaic County,County
34033,Female,AllSite,01yr,31838,216,489.3,422.6,564.3,23765,181,498.5,423.5,584.5,4703,26,469.6,298.6,705.2,2841,,,,,424,,,,,105,,,,,Salem County,County
34035,Female,AllSite,01yr,168004,977,445.6,417.1,475.7,94122,710,491.9,452.5,534.1,16839,70,339.2,262.3,433.0,24530,78,408.1,315.9,517.3,32270,100,296.2,240.0,362.2,243,,,,,Somerset County,County
34037,Female,AllSite,01yr,70685,439,435.3,393.2,481.1,60724,407,449.6,403.8,499.9,1685,,,,,6477,19,320.4,188.8,508.6,1702,,,,,97,,,,,Sussex County,County
34039,Female,AllSite,01yr,284440,1504,430.4,408.3,453.3,112933,812,474.5,440.0,511.3,63761,306,380.9,338.6,427.3,90430,309,378.9,336.9,424.7,16876,51,283.4,209.2,375.9,440,,,,,Union County,County
34041,Female,AllSite,01yr,53693,387,500.9,449.7,557.0,43849,352,521.8,464.4,585.2,2854,,,,,5290,19,386.7,230.5,609.8,1620,,,,,80,,,,,Warren County,County
34001,Male,AllSite,01yr,127591,922,547.3,511.3,585.3,72550,659,546.8,503.7,593.2,18727,120,627.8,516.7,755.7,25542,57,355.8,261.2,470.6,10446,39,284.7,198.3,399.6,326,,,,,Atlantic County,County
34003,Male,AllSite,01yr,452666,2816,496.7,478.1,515.9,254183,2053,539.3,515.1,564.4,25713,124,463.4,382.9,555.9,96215,279,396.6,347.8,449.8,76033,238,282.7,247.2,322.0,522,,,,,Bergen County,County
34005,Male,AllSite,01yr,219202,1537,562.8,534.3,592.5,147515,1174,562.2,529.4,596.6,39110,210,534.8,463.0,614.7,19847,50,404.3,286.3,551.3,12204,40,347.2,241.9,481.6,526,,,,,Burlington County,County
34007,Male,AllSite,01yr,244430,1502,530.9,503.7,559.3,139392,1044,537.5,504.1,572.7,45821,247,550.7,481.9,626.5,43918,108,404.6,326.5,494.4,14756,46,285.1,208.0,382.4,543,,,,,Camden County,County
34009,Male,AllSite,01yr,44868,471,608.2,549.8,672.2,38148,420,579.5,519.3,646.3,2290,17,731.8,419.6,1188.3,3863,,,,,479,,,,,88,,,,,Cape May County,County
34011,Male,AllSite,01yr,76161,488,584.3,532.6,639.7,33531,319,599.5,533.2,673.0,16295,77,578.3,448.2,733.8,24755,77,477.8,370.3,604.5,1030,,,,,550,,,,,Cumberland County,County
34013,Male,AllSite,01yr,384574,1952,494.7,472.4,517.8,120089,812,487.4,453.5,523.4,145408,712,509.3,471.0,549.9,95745,297,440.6,387.9,498.1,22448,46,212.1,154.0,285.0,884,,,,,Essex County,County
34015,Male,AllSite,01yr,141846,933,549.1,513.2,587.0,111902,775,542.4,503.4,583.8,15314,80,500.1,392.5,628.5,9809,23,467.5,279.3,721.5,4565,,,,,256,,,,,Gloucester County,County
34017,Male,AllSite,01yr,334987,1348,446.7,422.5,471.9,102006,551,524.8,480.6,572.1,36091,138,470.2,391.1,560.2,141295,476,375.8,341.9,412.0,54873,135,322.4,267.8,384.9,722,,,,,Hudson County,County
34019,Male,AllSite,01yr,61339,449,508.2,459.6,561.1,52346,401,495.0,444.4,550.6,1681,,,,,4369,,,,,2884,,,,,59,,,,,Hunterdon County,County
34021,Male,AllSite,01yr,179755,1185,584.9,551.3,620.1,87362,787,605.6,562.3,651.7,34790,211,649.4,560.9,747.7,35418,104,480.6,380.0,597.6,21830,54,289.6,214.5,381.8,355,,,,,Mercer County,County
34023,Male,AllSite,01yr,407262,2331,505.5,484.7,527.0,171021,1487,567.1,537.0,598.6,40714,208,574.4,493.5,664.4,90641,264,425.3,371.1,484.7,103991,272,277.7,244.7,313.9,895,,,,,Middlesex County,County
34025,Male,AllSite,01yr,301063,2426,614.3,589.2,640.3,227903,2044,620.4,592.6,649.2,20706,145,644.2,540.2,762.8,34813,101,447.8,357.1,552.7,17268,62,324.2,246.3,419.7,373,,,,,Monmouth County,County
34027,Male,AllSite,01yr,241921,1680,548.2,521.6,575.8,171731,1375,556.0,525.9,587.5,8621,50,668.8,481.3,901.9,34520,114,499.5,400.6,613.5,26777,86,324.9,258.7,402.7,272,,,,,Morris County,County
34029,Male,AllSite,01yr,293290,2546,609.0,584.6,634.1,247768,2282,600.4,574.7,627.1,9946,48,510.1,366.9,689.2,29403,88,420.4,333.7,521.3,5845,20,285.6,171.8,449.9,328,,,,,Ocean County,County
34031,Male,AllSite,01yr,244877,1304,487.2,460.4,515.0,100392,759,519.8,482.1,560.0,23939,130,534.5,443.4,638.9,106619,320,383.9,340.8,430.8,13457,42,288.1,204.3,395.2,470,,,,,Passaic County,County
34033,Male,AllSite,01yr,30547,205,507.7,438.1,585.9,22626,167,498.5,422.5,585.9,4224,23,467.9,286.5,724.9,3247,,,,,330,,,,,120,,,,,Salem County,County
34035,Male,AllSite,01yr,160930,983,506.2,474.1,540.1,88991,708,529.6,489.5,572.6,15693,88,567.8,446.0,712.3,25531,52,339.5,237.4,466.1,30464,98,365.4,293.8,448.7,251,,,,,Somerset County,County
34037,Male,AllSite,01yr,69803,524,570.3,519.9,624.7,59919,475,568.2,515.2,625.7,1873,,,,,6427,20,369.0,216.7,589.1,1486,,,,,98,,,,,Sussex County,County
34039,Male,AllSite,01yr,271901,1431,483.1,457.8,509.6,108839,754,485.9,450.5,523.6,55491,299,530.7,470.3,596.7,92122,254,374.0,326.2,426.5,15057,42,266.8,190.9,363.5,392,,,,,Union County,County
34041,Male,AllSite,01yr,51574,389,555.3,499.5,616.3,41643,350,557.5,497.4,623.9,2860,,,,,5406,,,,,1599,,,,,66,,,,,Warren County,County
34001,Male,Prostate,01yr,127591,229,124.3,108.4,142.2,72550,151,115.0,96.9,136.3,18727,39,193.2,135.4,267.8,25542,,,,,10446,,,,,326,,,,,Atlantic County,County
34003,Male,Prostate,01yr,452666,759,123.2,114.5,132.5,254183,505,119.7,109.3,131.0,25713,61,216.8,164.2,281.3,96215,81,106.3,83.0,133.8,76033,46,51.9,37.7,69.9,522,,,,,Bergen County,County
34005,Male,Prostate,01yr,219202,485,166.4,151.6,182.4,147515,327,145.1,129.4,162.4,39110,98,241.8,195.1,296.5,19847,16,122.5,64.9,208.1,12204,,,,,526,,,,,Burlington County,County
34007,Male,Prostate,01yr,244430,406,130.0,117.3,143.7,139392,244,111.6,97.6,127.3,45821,96,195.5,157.5,240.2,43918,21,81.9,49.2,126.6,14756,,,,,543,,,,,Camden County,County
34009,Male,Prostate,01yr,44868,140,155.7,130.5,185.9,38148,121,143.4,118.5,174.6,2290,,,,,3863,,,,,479,,,,,88,,,,,Cape May County,County
34011,Male,Prostate,01yr,76161,129,145.7,121.2,173.9,33531,68,120.3,92.9,155.0,16295,40,302.2,210.4,419.6,24755,17,109.1,60.8,177.6,1030,,,,,550,,,,,Cumberland County,County
34013,Male,Prostate,01yr,384574,716,171.8,159.1,185.3,120089,245,137.2,120.2,156.1,145408,320,218.1,194.0,244.5,95745,79,126.4,98.3,159.5,22448,,,,,884,,,,,Essex County,County
34015,Male,Prostate,01yr,141846,272,144.5,127.3,163.5,111902,210,131.8,114.1,151.7,15314,30,176.0,117.1,255.4,9809,,,,,4565,,,,,256,,,,,Gloucester County,County
34017,Male,Prostate,01yr,334987,371,120.2,107.9,133.4,102006,129,118.9,98.7,142.2,36091,52,178.7,131.5,236.7,141295,140,106.4,89.0,126.1,54873,30,76.7,51.3,110.2,722,,,,,Hudson County,County
34019,Male,Prostate,01yr,61339,141,142.6,119.2,170.2,52346,121,133.8,110.0,162.4,1681,,,,,4369,,,,,2884,,,,,59,,,,,Hunterdon County,County
34021,Male,Prostate,01yr,179755,351,162.7,145.7,181.2,87362,224,159.1,138.5,182.5,34790,81,232.0,182.0,291.4,35418,23,127.4,75.4,197.8,21830,,,,,355,,,,,Mercer County,County
34023,Male,Prostate,01yr,407262,701,143.7,133.0,155.1,171021,392,132.5,119.4,146.9,40714,91,240.8,190.7,299.8,90641,77,123.5,95.6,156.5,103991,68,72.0,55.5,91.9,895,,,,,Middlesex County,County
34025,Male,Prostate,01yr,301063,739,171.9,159.4,185.3,227903,582,160.5,147.3,174.7,20706,64,271.8,207.3,350.8,34813,33,160.6,106.5,230.0,17268,20,107.1,64.5,168.3,373,,,,,Monmouth County,County
34027,Male,Prostate,01yr,241921,508,153.3,140.0,167.7,171731,406,151.8,137.2,167.9,8621,20,253.0,144.8,407.2,34520,34,142.7,95.3,204.2,26777,22,76.4,47.5,116.8,272,,,,,Morris County,County
34029,Male,Prostate,01yr,293290,630,140.1,129.2,151.9,247768,529,129.1,118.1,141.1,9946,,,,,29403,22,103.5,64.0,157.3,5845,,,,,328,,,,,Ocean County,County
34031,Male,Prostate,01yr,244877,367,127.7,114.7,141.8,100392,210,132.7,115.0,152.7,23939,45,175.2,126.6,236.9,106619,83,93.4,73.8,116.6,13457,,,,,470,,,,,Passaic County,County
34033,Male,Prostate,01yr,30547,55,119.7,89.6,158.1,22626,47,121.2,88.4,164.9,4224,,,,,3247,,,,,330,,,,,120,,,,,Salem County,County
34035,Male,Prostate,01yr,160930,299,142.9,126.7,160.7,88991,183,124.0,106.2,144.6,15693,44,252.7,181.2,344.7,25531,17,96.2,49.6,165.3,30464,27,101.5,66.0,148.9,251,,,,,Somerset County,County
34037,Male,Prostate,01yr,69803,139,137.6,114.6,164.3,59919,113,122.5,99.9,149.6,1873,,,,,6427,,,,,1486,,,,,98,,,,,Sussex County,County
34039,Male,Prostate,01yr,271901,525,166.7,152.4,182.1,108839,229,136.3,118.7,156.0,55491,123,205.8,169.9,247.2,92122,85,133.8,105.3,167.1,15057,,,,,392,,,,,Union County,County
34041,Male,Prostate,01yr,51574,108,137.8,112.5,168.0,41643,95,132.4,106.6,164.2,2860,,,,,5406,,,,,1599,,,,,66,,,,,Warren County,County
34001,Female,Breast,01yr,136079,247,135.4,118.0,154.7,77196,177,150.5,126.6,178.2,21662,39,142.2,100.1,197.2,25587,23,105.8,65.8,160.7,11301,,,,,333,,,,,Atlantic County,County
34003,Female,Breast,01yr,479536,943,152.1,142.2,162.5,266494,645,169.8,155.7,184.9,28769,55,156.1,116.7,205.3,99782,124,127.6,105.6,152.8,83868,114,109.9,90.5,132.6,623,,,,,Bergen County,County
34005,Female,Breast,01yr,226147,463,154.8,140.3,170.4,153631,361,165.4,147.4,185.1,40484,63,128.5,97.9,166.1,18159,21,143.3,86.8,221.7,13318,,,,,555,,,,,Burlington County,County
34007,Female,Breast,01yr,262041,489,150.0,136.5,164.5,147721,318,152.5,134.9,171.8,52384,95,158.7,127.7,195.2,45128,52,150.8,111.5,198.9,16217,21,118.3,72.6,182.9,591,,,,,Camden County,County
34009,Female,Breast,01yr,47171,110,132.5,106.0,164.9,40900,101,128.8,101.3,163.4,2001,,,,,3589,,,,,590,,,,,91,,,,,Cape May County,County
34011,Female,Breast,01yr,73366,131,139.6,115.9,166.9,35533,89,146.4,114.9,185.4,13278,18,120.4,70.3,193.5,22814,23,139.4,86.9,210.5,1150,,,,,591,,,,,Cumberland County,County
34013,Female,Breast,01yr,414401,653,135.3,124.9,146.4,125199,286,165.3,145.5,187.2,168934,230,118.6,103.5,135.4,94268,97,114.7,92.6,140.4,24879,31,106.9,72.3,153.2,1121,,,,,Essex County,County
34015,Female,Breast,01yr,149790,282,146.5,129.3,165.5,117807,240,149.9,130.7,171.4,16936,25,126.0,80.5,189.0,9691,,,,,5068,,,,,288,,,,,Gloucester County,County
34017,Female,Breast,01yr,337404,440,123.1,111.7,135.4,97071,135,121.6,101.2,145.1,38812,65,161.5,124.2,206.5,145686,175,111.2,95.2,129.2,55145,61,125.2,95.2,161.8,690,,,,,Hudson County,County
34019,Female,Breast,01yr,63032,135,157.1,129.9,188.9,54033,125,164.6,134.2,200.5,1549,,,,,4325,,,,,3064,,,,,61,,,,,Hunterdon County,County
34021,Female,Breast,01yr,187675,313,137.7,122.4,154.4,92928,200,145.5,124.3,169.7,39282,58,133.2,100.5,173.3,32406,29,122.9,80.2,179.0,22677,25,113.1,72.2,169.1,382,,,,,Mercer County,County
34023,Female,Breast,01yr,417800,674,131.4,121.4,142.1,178599,405,144.8,129.5,161.6,43642,86,177.0,140.7,220.0,91467,91,111.9,89.6,137.9,103137,87,82.8,66.1,102.5,955,,,,,Middlesex County,County
34025,Female,Breast,01yr,317732,654,155.2,142.8,168.5,241061,542,159.1,144.8,174.5,23423,43,163.5,115.9,224.1,34117,45,149.5,108.2,201.3,18730,23,100.0,62.7,153.3,401,,,,,Monmouth County,County
34027,Female,Breast,01yr,249924,515,152.6,139.2,167.1,179021,420,160.6,144.5,178.1,8940,17,160.3,92.1,262.2,33627,42,129.1,91.8,176.4,28042,33,101.9,69.8,144.5,294,,,,,Morris County,County
34029,Female,Breast,01yr,313896,637,136.6,125.1,149.0,267844,568,136.3,123.9,149.8,10472,21,154.5,95.1,240.3,28415,24,103.6,65.9,154.3,6858,,,,,307,,,,,Ocean County,County
34031,Female,Breast,01yr,256949,434,143.4,129.8,158.0,104761,262,177.9,155.1,203.4,28377,41,125.5,89.2,172.0,108710,107,106.0,86.6,128.4,14590,18,109.8,64.4,176.2,511,,,,,Passaic County,County
34033,Female,Breast,01yr,31838,61,141.2,106.6,184.4,23765,47,131.0,94.6,178.8,4703,,,,,2841,,,,,424,,,,,105,,,,,Salem County,County
34035,Female,Breast,01yr,168004,301,141.2,125.1,158.9,94122,212,159.1,136.0,185.3,16839,30,137.5,91.8,200.1,24530,,,,,32270,41,112.3,80.2,153.9,243,,,,,Somerset County,County
34037,Female,Breast,01yr,70685,145,144.1,120.1,171.9,60724,134,148.0,122.0,178.6,1685,,,,,6477,,,,,1702,,,,,97,,,,,Sussex County,County
34039,Female,Breast,01yr,284440,475,137.4,125.0,150.7,112933,257,158.4,138.3,180.8,63761,96,120.3,96.9,147.9,90430,93,109.9,88.4,135.2,16876,25,127.9,82.2,191.2,440,,,,,Union County,County
34041,Female,Breast,01yr,53693,100,133.4,107.1,164.9,43849,90,142.1,111.7,179.1,2854,,,,,5290,,,,,1620,,,,,80,,,,,Warren County,County
34001,Both,Lung,01yr,263670,247,65.9,57.8,75.0,149746,182,67.2,57.6,78.5,40389,36,72.5,50.5,101.6,51129,19,59.6,34.2,94.8,21747,,,,,659,,,,,Atlantic County,County
34003,Both,Lung,01yr,932202,564,43.5,39.9,47.3,520677,452,50.0,45.4,55.0,54482,21,33.4,20.5,51.7,195997,31,23.3,15.6,33.1,159901,58,30.1,22.8,39.3,1145,,,,,Bergen County,County
34005,Both,Lung,01yr,445349,332,54.2,48.4,60.5,301146,279,59.5,52.5,67.2,79594,37,40.5,28.4,56.4,38006,,,,,25522,,,,,1081,,,,,Burlington County,County
34007,Both,Lung,01yr,506471,360,56.0,50.3,62.2,287113,283,62.8,55.5,70.9,98205,49,45.6,33.5,60.8,89046,17,29.3,16.7,47.2,30973,,,,,1134,,,,,Camden County,County
34009,Both,Lung,01yr,92039,113,65.7,53.3,80.9,79048,107,63.7,51.5,79.1,4291,,,,,7452,,,,,1069,,,,,179,,,,,Cape May County,County
34011,Both,Lung,01yr,149527,110,61.5,50.4,74.5,69064,90,73.8,59.0,92.1,29573,,,,,47569,,,,,2180,,,,,1141,,,,,Cumberland County,County
34013,Both,Lung,01yr,798975,396,44.0,39.7,48.7,245288,163,43.2,36.7,50.7,314342,153,45.7,38.6,53.7,190013,59,41.4,31.1,53.8,47327,19,38.8,23.1,61.4,2005,,,,,Essex County,County
34015,Both,Lung,01yr,291636,225,59.9,52.2,68.5,229709,205,63.7,55.1,73.4,32250,17,46.7,26.7,76.3,19500,,,,,9633,,,,,544,,,,,Gloucester County,County
34017,Both,Lung,01yr,672391,244,36.7,32.2,41.7,199077,110,48.7,39.9,59.0,74903,31,44.0,29.6,62.9,286981,74,25.7,20.1,32.3,110018,27,31.8,20.7,46.8,1412,,,,,Hudson County,County
34019,Both,Lung,01yr,124371,52,26.7,19.8,35.7,106379,50,27.4,20.2,37.1,3230,,,,,8694,,,,,5948,,,,,120,,,,,Hunterdon County,County
34021,Both,Lung,01yr,367430,220,47.7,41.5,54.6,180290,154,50.6,42.8,59.9,74072,45,57.0,41.2,76.9,67824,,,,,44507,,,,,737,,,,,Mercer County,County
34023,Both,Lung,01yr,825062,495,48.3,44.1,52.9,349620,378,60.4,54.3,67.1,84356,35,43.3,29.6,60.9,182108,45,35.7,25.5,48.3,207128,34,18.0,12.3,25.3,1850,,,,,Middlesex County,County
34025,Both,Lung,01yr,618795,514,59.1,54.0,64.6,468964,439,59.8,54.2,65.9,44129,26,46.9,30.5,69.7,68930,26,60.0,38.2,88.8,35998,19,45.6,27.2,72.5,774,,,,,Monmouth County,County
34027,Both,Lung,01yr,491845,294,43.2,38.4,48.6,350752,258,45.6,40.1,51.7,17561,,,,,68147,,,,,54819,,,,,566,,,,,Morris County,County
34029,Both,Lung,01yr,607186,724,71.1,65.9,76.7,515612,687,73.6,68.0,79.6,20418,,,,,57818,19,48.7,29.0,75.6,12703,,,,,635,,,,,Ocean County,County
34031,Both,Lung,01yr,501826,262,44.0,38.8,49.8,205153,169,51.5,43.8,60.3,52316,36,62.0,43.2,86.4,215329,46,28.0,20.3,37.5,28047,,,,,981,,,,,Passaic County,County
34033,Both,Lung,01yr,62385,62,68.0,51.7,88.5,46391,54,70.7,52.6,94.2,8927,,,,,6088,,,,,754,,,,,225,,,,,Salem County,County
34035,Both,Lung,01yr,328934,174,40.6,34.6,47.3,183113,144,46.4,38.9,55.2,32532,,,,,50061,,,,,62734,18,33.6,19.6,53.4,494,,,,,Somerset County,County
34037,Both,Lung,01yr,140488,106,52.1,42.4,63.7,120643,102,54.6,44.2,67.1,3558,,,,,12904,,,,,3188,,,,,195,,,,,Sussex County,County
34039,Both,Lung,01yr,556341,231,35.0,30.5,39.9,221772,136,37.4,31.3,44.7,119252,54,40.7,30.4,53.4,182552,35,27.2,18.6,38.0,31933,,,,,832,,,,,Union County,County
34041,Both,Lung,01yr,105267,108,69.5,56.8,84.7,85492,101,71.9,58.2,88.5,5714,,,,,10696,,,,,3219,,,,,146,,,,,Warren County,County
34001,Female,Lung,01yr,136079,117,56.1,46.1,67.8,77196,85,55.3,43.9,69.9,21662,18,59.7,35.1,96.9,25587,,,,,11301,,,,,333,,,,,Atlantic County,County
34003,Female,Lung,01yr,479536,292,40.2,35.6,45.2,266494,239,47.5,41.5,54.4,28769,,,,,99782,20,26.3,15.9,40.5,83868,23,21.2,13.4,32.5,623,,,,,Bergen County,County
34005,Female,Lung,01yr,226147,173,50.9,43.5,59.3,153631,140,53.3,44.7,63.4,40484,23,45.2,28.4,68.9,18159,,,,,13318,,,,,555,,,,,Burlington County,County
